ID,MENTAL_HEALTH_COVERAGE,TECH_COMPANY,MENTAL_HEALTH_OPTIONS_UNDER_COVERAGE,EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MEDICAL_COVERAGE_INCLUDING_MENTAL_HEALTH_TREATMENT,PREV_EMPLOYERS_PROVIDE_MENTAL_HEALTH_BENEFITS,AWARENESS_OF_MENTAL_HEALTH_COVERAGE_BY_PREV_EMPLOYERS,PREV_EMPLOYER_OFFER_MENTAL_HEALTH_RESOURCES,MENTAL_HEALTH_IDENTITY_HURT_YOUR_CAREER,CURRENT_MENTAL_HEALTH_DISORDER
1267,No,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
1268,Not eligible for coverage,1,No,I don't know,,,,,"No, I don't think it would",No
1269,Yes,0,Yes,No,,I don't know,N/A (not currently aware),Some did,Maybe,Maybe
1270,Yes,1,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","No, I don't think it would",Yes
1271,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
1272,,,,,1,I don't know,I was aware of some,None did,Maybe,No
1273,Yes,1,I am not sure,No,,"No, none did",I was aware of some,None did,Maybe,Yes
1274,I don't know,1,I am not sure,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
1275,Yes,0,Yes,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
1276,,,,,1,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",No
1277,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Yes
1278,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
1279,Not eligible for coverage,1,,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1280,Not eligible for coverage,1,,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1281,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Maybe
1282,I don't know,0,I am not sure,No,,Some did,N/A (not currently aware),None did,"Yes, I think it would",No
1283,Yes,1,No,I don't know,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
1284,Yes,1,No,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
1285,Not eligible for coverage,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
1286,Yes,0,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
1287,No,0,No,No,,"No, none did","No, I only became aware later",None did,"Yes, it has",No
1288,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1289,No,1,,No,,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,No
1290,Yes,1,Yes,I don't know,,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Maybe,Yes
1291,Yes,1,No,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
1292,Not eligible for coverage,1,,No,,,,,"Yes, I think it would",Maybe
1293,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
1294,I don't know,1,No,No,,Some did,I was aware of some,Some did,Maybe,Maybe
1295,No,0,No,No,,,,,"Yes, it has",Yes
1296,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",None did,Maybe,Maybe
1297,No,1,No,No,,I don't know,N/A (not currently aware),None did,Maybe,Maybe
1298,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",Yes
1299,,,,,1,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
1300,Yes,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Yes
1301,,,,,1,,,,Maybe,Maybe
1302,Yes,1,I am not sure,No,,Some did,I was aware of some,None did,"Yes, it has",Yes
1303,No,0,I am not sure,I don't know,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Yes
1304,,,,,1,"No, none did","Yes, I was aware of all of them",None did,"Yes, it has",Maybe
1305,,,,,0,I don't know,I was aware of some,Some did,"No, I don't think it would",No
1306,I don't know,0,No,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
1307,No,1,No,I don't know,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1308,I don't know,0,I am not sure,Yes,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
1309,,,,,1,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
1310,Yes,0,I am not sure,Yes,,,,,"Yes, I think it would",No
1311,Yes,1,Yes,Yes,,Some did,N/A (not currently aware),None did,Maybe,Yes
1312,Yes,0,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1313,,,,,1,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",Yes
1314,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
1315,,,,,0,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
1316,I don't know,1,I am not sure,No,,Some did,I was aware of some,Some did,Maybe,No
1317,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
1318,I don't know,0,I am not sure,I don't know,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
1319,No,0,No,No,,I don't know,I was aware of some,None did,"Yes, I think it would",No
1320,Yes,1,Yes,I don't know,,,,,"Yes, I think it would",Yes
1321,,,,,1,I don't know,N/A (not currently aware),None did,"Yes, I think it would",No
1322,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
1323,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Maybe
1324,Yes,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
1325,Yes,0,Yes,Yes,,"No, none did","No, I only became aware later",None did,"No, it has not",Yes
1326,,,,,1,Some did,"No, I only became aware later",None did,"Yes, it has",Yes
1327,,,,,1,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",Yes
1328,Not eligible for coverage,1,I am not sure,No,,,,,"Yes, I think it would",No
1329,No,1,I am not sure,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Yes
1330,No,0,Yes,No,,,,,Maybe,Yes
1331,I don't know,1,No,I don't know,,I don't know,N/A (not currently aware),None did,Maybe,Yes
1332,,,,,0,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
1333,Yes,1,Yes,I don't know,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",Yes
1334,No,0,,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
1335,No,1,No,No,,,,,"Yes, I think it would",Yes
1336,Not eligible for coverage,1,,No,,I don't know,N/A (not currently aware),None did,Maybe,No
1337,I don't know,0,No,No,,Some did,"Yes, I was aware of all of them",Some did,Maybe,No
1338,Not eligible for coverage,1,,No,,,,,"Yes, I think it would",Maybe
1339,No,1,No,No,,Some did,I was aware of some,None did,Maybe,Maybe
1340,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1341,Yes,0,Yes,Yes,,Some did,"Yes, I was aware of all of them",Some did,"Yes, I think it would",Maybe
1342,No,1,No,I don't know,,Some did,I was aware of some,Some did,Maybe,No
1343,No,0,,No,,Some did,I was aware of some,Some did,Maybe,Yes
1344,No,0,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",No
1345,I don't know,0,No,Yes,,,,,"Yes, I think it would",No
1346,I don't know,1,Yes,Yes,,I don't know,N/A (not currently aware),Some did,"No, I don't think it would",No
1347,,,,,0,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
1348,No,0,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
1349,I don't know,0,I am not sure,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
1350,No,1,Yes,No,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
1351,I don't know,1,No,I don't know,,Some did,I was aware of some,Some did,Maybe,Yes
1352,Yes,1,Yes,I don't know,,"No, none did","Yes, I was aware of all of them",None did,"No, I don't think it would",Yes
1353,No,1,Yes,Yes,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Yes
1354,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Yes
1355,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, it has",Maybe
1356,No,0,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
1357,Yes,1,Yes,Yes,,I don't know,N/A (not currently aware),None did,"No, I don't think it would",No
1358,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,"No, I don't think it would",Yes
1359,I don't know,1,No,I don't know,,,,,"No, I don't think it would",Maybe
1360,Not eligible for coverage,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
1361,Yes,1,Yes,I don't know,,Some did,I was aware of some,None did,Maybe,Maybe
1362,I don't know,1,I am not sure,Yes,,"No, none did",I was aware of some,None did,Maybe,Yes
1363,I don't know,1,No,No,,,,,Maybe,Yes
1364,,,,,1,Some did,N/A (not currently aware),None did,"Yes, I think it would",Yes
1365,,,,,0,"No, none did",N/A (not currently aware),Some did,"Yes, I think it would",Yes
1366,Yes,0,Yes,Yes,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, it has",Maybe
1367,,,,,1,"Yes, they all did","No, I only became aware later",Some did,Maybe,Maybe
1368,Yes,0,I am not sure,Yes,,"No, none did","Yes, I was aware of all of them",None did,Maybe,No
1369,,,,,1,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",No
1370,,,,,0,"No, none did","Yes, I was aware of all of them",None did,"No, it has not",Yes
1371,Yes,0,I am not sure,Yes,,I don't know,N/A (not currently aware),None did,Maybe,No
1372,Yes,1,Yes,Yes,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",Yes
1373,Yes,1,No,I don't know,,Some did,N/A (not currently aware),None did,Maybe,Maybe
1374,,,,,1,Some did,N/A (not currently aware),None did,"Yes, I think it would",Yes
1375,No,1,I am not sure,No,,,,,"Yes, I think it would",Yes
1376,Yes,1,I am not sure,Yes,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",Yes
1377,Not eligible for coverage,1,No,No,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
1378,Yes,1,No,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1379,Yes,1,Yes,No,,"Yes, they all did",I was aware of some,None did,Maybe,Yes
1380,Yes,1,Yes,No,,Some did,I was aware of some,None did,"Yes, I think it would",Maybe
1381,Yes,1,No,No,,"No, none did","Yes, I was aware of all of them",None did,Maybe,No
1382,,,,,1,Some did,"No, I only became aware later",None did,"Yes, I think it would",Yes
1383,Not eligible for coverage,1,,No,,"No, none did",N/A (not currently aware),None did,Maybe,Maybe
1384,Yes,1,I am not sure,No,,Some did,N/A (not currently aware),None did,"No, I don't think it would",Yes
1385,Yes,0,Yes,No,,,,,"Yes, I think it would",Maybe
1386,I don't know,1,Yes,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
1387,Yes,0,I am not sure,Yes,,"Yes, they all did",I was aware of some,None did,Maybe,Yes
1388,Yes,1,No,I don't know,,Some did,I was aware of some,Some did,"Yes, I think it would",Maybe
1389,I don't know,1,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,Maybe,No
1390,I don't know,0,I am not sure,No,,I don't know,N/A (not currently aware),None did,"Yes, it has",Maybe
1391,Yes,1,No,No,,"Yes, they all did",I was aware of some,Some did,"Yes, I think it would",No
1392,Not eligible for coverage,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
1393,Not eligible for coverage,0,,Yes,,"No, none did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Maybe
1394,Yes,1,Yes,No,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Maybe
1395,Yes,1,No,No,,,,,"Yes, I think it would",Yes
1396,,,,,1,"No, none did","Yes, I was aware of all of them",None did,"Yes, I think it would",Yes
1397,Yes,1,Yes,I don't know,,"Yes, they all did",I was aware of some,None did,"Yes, I think it would",Yes
1398,Yes,1,Yes,No,,Some did,I was aware of some,None did,"No, I don't think it would",Yes
1399,Yes,1,Yes,No,,"No, none did",N/A (not currently aware),None did,Maybe,Yes
1400,Yes,1,Yes,Yes,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Maybe
1401,Yes,0,No,Yes,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1402,No,1,Yes,No,,Some did,I was aware of some,None did,"Yes, I think it would",Yes
1403,No,1,I am not sure,No,,"No, none did","No, I only became aware later",None did,"Yes, I think it would",Yes
1404,,,,,0,Some did,"No, I only became aware later",None did,Maybe,Yes
1405,I don't know,1,I am not sure,No,,,,,"Yes, I think it would",Maybe
1406,No,1,No,No,,"No, none did",N/A (not currently aware),None did,"Yes, I think it would",Yes
1407,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),Some did,Maybe,Yes
1408,,,,,1,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",No
1409,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
1410,I don't know,1,No,No,,I don't know,N/A (not currently aware),None did,"Yes, I think it would",Yes
1411,Yes,1,I am not sure,No,,,,,"Yes, I think it would",Yes
1412,Not eligible for coverage,1,I am not sure,Yes,,,,,Maybe,No
1413,Yes,0,Yes,I don't know,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
1414,Yes,1,Yes,I don't know,,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, I think it would",Yes
1415,Not eligible for coverage,0,I am not sure,I don't know,,,,,Maybe,Yes
1416,No,1,No,No,,,,,Maybe,No
1417,No,1,,No,,,,,"Yes, I think it would",Yes
1418,Yes,1,I am not sure,No,,I don't know,N/A (not currently aware),"Yes, they all did","Yes, I think it would",Yes
1419,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,Maybe,Yes
1420,,,,,1,I don't know,N/A (not currently aware),None did,Maybe,Maybe
1421,No,1,No,No,,"No, none did",N/A (not currently aware),None did,Maybe,No
1422,I don't know,1,I am not sure,I don't know,,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, I think it would",No
1423,Yes,1,I am not sure,I don't know,,,,,Maybe,No
1424,Not eligible for coverage,1,,No,,I don't know,N/A (not currently aware),Some did,"Yes, I think it would",Yes
1425,Yes,1,I am not sure,Yes,,Some did,"No, I only became aware later",Some did,"Yes, I think it would",Maybe
1426,I don't know,1,I am not sure,I don't know,,I don't know,N/A (not currently aware),Some did,"Yes, it has",Yes
1427,Yes,1,No,No,,Some did,I was aware of some,None did,Maybe,Yes
1428,,,,,1,"Yes, they all did",I was aware of some,Some did,Maybe,No
1429,,,,,1,,,,"No, it has not",No
1430,Yes,1,Yes,Yes,,Some did,I was aware of some,Some did,"Yes, it has",Maybe
1431,I don't know,0,I am not sure,Yes,,"No, none did",N/A (not currently aware),None did,"No, I don't think it would",Yes
1432,Yes,1,No,No,,,,,"Yes, I think it would",Yes
